date,value,memo,feed_flow_kg_h,steam_flow_kg_h,distillate_flow_kg_h,reflux_ratio,product_purity_pct,top_temperature_c,bottom_temperature_c,operating_status
2026-01-01,1.242,정상 운전,1008.37,296.45,238.6,2.06,95.96,82.39,108.71,NORMAL
2026-01-02,1.194,정상 운전,975.22,296.24,248.13,2.01,95.95,82.2,108.12,NORMAL
2026-01-03,1.236,정상 운전,1008.99,310.44,251.08,2.04,96.21,82.45,108.11,NORMAL
2026-01-04,1.187,정상 운전,1011.89,292.14,246.17,2.03,96.47,82.07,108.18,NORMAL
2026-01-05,1.206,정상 운전,1020.85,304.63,252.49,2.16,96.31,82.23,108.98,NORMAL
2026-01-06,1.183,정상 운전,1003.12,305.16,257.91,2.12,96.4,82.26,108.73,NORMAL
2026-01-07,1.224,정상 운전,983.67,299.94,244.95,2.02,95.96,81.88,108.35,NORMAL
2026-01-08,1.223,정상 운전,991.89,301.85,246.88,2.04,95.99,82.55,108.68,NORMAL
2026-01-09,1.219,정상 운전,980.27,311.45,255.5,2.03,96.07,82.59,108.68,NORMAL
2026-01-10,1.199,정상 운전,1011.08,309.55,258.23,2.16,95.96,81.83,108.38,NORMAL
2026-01-11,1.244,정상 운전,982.66,324.23,260.63,2.18,96.02,82.32,108.46,NORMAL
2026-01-12,1.243,정상 운전,997.53,303.7,244.36,2.05,96.19,82.01,108.63,NORMAL
2026-01-13,1.188,정상 운전,993.96,288.92,243.26,2.2,96.16,81.87,108.14,NORMAL
2026-01-14,1.217,정상 운전,1007.65,312.79,257.01,2.08,95.84,82.11,109.0,NORMAL
2026-01-15,1.199,정상 운전,1028.26,310.05,258.66,2.0,96.3,82.35,108.58,NORMAL
2026-01-16,1.198,정상 운전,1008.46,288.44,240.68,2.09,96.12,82.56,108.89,NORMAL
2026-01-17,1.223,정상 운전,1000.04,296.23,242.29,2.18,96.41,82.04,108.68,NORMAL
2026-01-18,1.203,정상 운전,979.17,308.25,256.3,2.11,96.35,82.22,108.1,NORMAL
2026-01-19,1.241,정상 운전,971.17,323.15,260.3,2.18,96.38,82.05,108.15,NORMAL
2026-01-20,1.189,정상 운전,1026.82,285.42,240.06,2.1,95.85,82.41,108.79,NORMAL
2026-01-21,1.218,정상 운전,998.52,305.89,251.2,2.05,96.41,82.14,108.29,NORMAL
2026-01-22,1.216,정상 운전,1013.8,295.33,242.83,2.06,96.5,82.32,108.49,NORMAL
2026-01-23,1.185,정상 운전,977.26,288.41,243.39,2.07,96.21,81.98,108.3,NORMAL
2026-01-24,1.227,정상 운전,1007.87,298.73,243.49,2.18,96.4,81.86,108.31,NORMAL
2026-01-25,1.237,정상 운전,982.85,298.22,241.18,2.19,96.2,82.18,108.81,NORMAL
2026-01-26,1.227,정상 운전,981.42,294.91,240.33,2.09,96.1,82.17,108.76,NORMAL
2026-01-27,1.193,정상 운전,1029.05,286.83,240.36,2.08,96.04,82.49,108.32,NORMAL
2026-01-28,1.24,정상 운전,996.92,307.75,248.13,2.06,95.97,82.54,108.5,NORMAL
2026-01-29,1.239,정상 운전,1003.02,296.48,239.21,2.2,96.39,82.58,108.93,NORMAL
2026-01-30,1.249,정상 운전,979.98,311.81,249.66,2.04,96.08,81.85,108.44,NORMAL
2026-01-31,1.219,정상 운전,985.91,313.04,256.82,2.09,96.1,82.57,109.0,NORMAL
2026-02-01,1.232,정상 운전,1013.1,297.88,241.72,2.06,96.48,82.26,108.59,NORMAL
2026-02-02,1.186,정상 운전,973.43,298.8,252.02,2.1,96.4,81.93,108.96,NORMAL
2026-02-03,1.197,정상 운전,981.15,302.04,252.28,2.14,95.96,81.9,108.9,NORMAL
2026-02-04,1.194,정상 운전,1005.67,302.0,252.87,2.08,96.21,82.22,108.94,NORMAL
2026-02-05,1.233,정상 운전,1012.97,300.43,243.73,2.08,96.27,82.04,108.38,NORMAL
2026-02-06,1.199,정상 운전,974.35,298.44,249.0,2.2,96.5,81.86,108.29,NORMAL
2026-02-07,1.229,정상 운전,1026.0,318.55,259.14,2.18,96.06,81.93,108.85,NORMAL
2026-02-08,1.226,정상 운전,1006.7,320.95,261.69,2.13,95.81,82.45,108.37,NORMAL
2026-02-09,1.222,정상 운전,1026.34,294.86,241.22,2.02,95.87,82.24,108.35,NORMAL
2026-02-10,1.239,정상 운전,1013.06,300.99,242.89,2.13,95.98,82.19,108.91,NORMAL
2026-02-11,1.198,정상 운전,975.54,297.39,248.17,2.06,95.8,82.42,108.67,NORMAL
2026-02-12,1.243,정상 운전,1014.47,312.36,251.24,2.09,95.81,81.86,108.89,NORMAL
2026-02-13,1.243,정상 운전,1002.74,320.71,258.03,2.12,95.9,81.9,108.38,NORMAL
2026-02-14,1.235,정상 운전,1017.77,319.34,258.66,2.18,95.95,82.0,108.19,NORMAL
2026-02-15,1.248,정상 운전,1023.05,309.28,247.75,2.12,95.91,82.54,108.88,NORMAL
2026-02-16,1.236,정상 운전,1018.65,320.35,259.15,2.0,96.32,82.07,108.94,NORMAL
2026-02-17,1.24,정상 운전,1021.84,319.27,257.46,2.05,96.35,81.89,108.88,NORMAL
2026-02-18,1.182,정상 운전,983.35,304.39,257.6,2.09,96.01,82.44,108.3,NORMAL
2026-02-19,1.208,정상 운전,981.59,297.02,245.88,2.17,96.48,82.02,108.68,NORMAL
2026-02-20,1.292,원료 조성 변화로 제품 순도 변동,1028.87,324.11,250.87,2.2,94.51,83.32,109.53,ABNORMAL
2026-02-21,1.317,원료 조성 변화로 제품 순도 변동,1006.37,329.6,250.27,2.34,94.94,83.66,109.54,ABNORMAL
2026-02-22,1.291,원료 조성 변화로 제품 순도 변동,991.85,309.35,239.68,2.21,94.71,83.29,109.2,ABNORMAL
2026-02-23,1.311,원료 조성 변화로 제품 순도 변동,977.64,325.15,248.09,2.26,94.4,83.14,109.23,ABNORMAL
2026-02-24,1.293,원료 조성 변화로 제품 순도 변동,1009.28,322.28,249.16,2.18,94.48,83.42,109.43,ABNORMAL
2026-02-25,1.314,원료 조성 변화로 제품 순도 변동,1019.11,336.44,256.03,2.25,95.25,82.89,109.21,NORMAL
2026-02-26,1.337,원료 조성 변화로 제품 순도 변동,981.67,340.57,254.71,2.3,94.51,83.31,108.98,ABNORMAL
2026-02-27,1.313,원료 조성 변화로 제품 순도 변동,1001.08,314.05,239.21,2.35,95.0,83.94,109.69,ABNORMAL
2026-02-28,1.306,원료 조성 변화로 제품 순도 변동,1013.16,326.77,250.11,2.2,94.65,83.57,109.57,ABNORMAL
2026-03-01,1.274,원료 조성 변화로 제품 순도 변동,1007.6,311.73,244.59,2.18,94.63,83.63,109.51,ABNORMAL
2026-03-02,1.27,원료 조성 변화로 제품 순도 변동,994.46,318.9,251.02,2.29,95.26,83.72,109.18,NORMAL
2026-03-03,1.272,원료 조성 변화로 제품 순도 변동,991.11,325.75,256.08,2.27,94.62,83.06,109.24,ABNORMAL
2026-03-04,1.315,원료 조성 변화로 제품 순도 변동,990.17,334.4,254.3,2.16,94.79,83.48,108.83,ABNORMAL
2026-03-05,1.276,원료 조성 변화로 제품 순도 변동,978.14,317.76,249.08,2.23,95.15,83.8,109.05,NORMAL
2026-03-06,1.281,원료 조성 변화로 제품 순도 변동,971.16,321.38,250.95,2.3,95.35,83.04,108.82,NORMAL
2026-03-07,1.338,원료 조성 변화로 제품 순도 변동,977.57,339.82,254.07,2.27,95.15,82.94,109.62,NORMAL
2026-03-08,1.324,원료 조성 변화로 제품 순도 변동,976.49,315.95,238.62,2.17,95.09,83.55,108.9,NORMAL
2026-03-09,1.328,원료 조성 변화로 제품 순도 변동,1021.02,335.09,252.41,2.22,94.91,83.21,109.65,ABNORMAL
2026-03-10,1.304,원료 조성 변화로 제품 순도 변동,976.33,340.38,261.06,2.34,94.67,83.77,109.34,ABNORMAL
2026-03-11,1.272,원료 조성 변화로 제품 순도 변동,996.13,325.06,255.54,2.2,94.86,83.53,109.18,ABNORMAL
2026-03-12,1.408,제품 순도 확보를 위해 환류비 상향,1021.06,341.15,242.36,2.53,96.71,82.07,109.09,NORMAL
2026-03-13,1.388,제품 순도 확보를 위해 환류비 상향,999.31,355.56,256.2,2.52,97.12,81.75,109.58,NORMAL
2026-03-14,1.411,제품 순도 확보를 위해 환류비 상향,1001.86,350.22,248.21,2.49,96.82,81.66,109.54,NORMAL
2026-03-15,1.351,제품 순도 확보를 위해 환류비 상향,981.11,328.59,243.19,2.48,96.82,81.71,109.18,NORMAL
2026-03-16,1.385,제품 순도 확보를 위해 환류비 상향,1002.05,338.81,244.58,2.6,97.22,81.89,109.47,NORMAL
2026-03-17,1.374,제품 순도 확보를 위해 환류비 상향,981.06,328.78,239.23,2.64,96.73,81.67,109.56,NORMAL
2026-03-18,1.374,제품 순도 확보를 위해 환류비 상향,1029.64,331.02,240.84,2.59,96.97,82.03,109.99,NORMAL
2026-03-19,1.386,제품 순도 확보를 위해 환류비 상향,1007.26,350.16,252.63,2.5,96.8,81.64,109.0,NORMAL
2026-03-20,1.425,제품 순도 확보를 위해 환류비 상향,1005.63,349.04,244.99,2.73,97.17,81.91,109.66,NORMAL
2026-03-21,1.36,제품 순도 확보를 위해 환류비 상향,995.51,341.44,251.07,2.54,97.15,81.88,109.29,NORMAL
2026-03-22,1.427,제품 순도 확보를 위해 환류비 상향,1011.32,363.58,254.79,2.58,96.89,81.73,109.09,NORMAL
2026-03-23,1.365,제품 순도 확보를 위해 환류비 상향,1020.16,343.59,251.8,2.68,96.98,81.93,109.92,NORMAL
2026-03-24,1.426,제품 순도 확보를 위해 환류비 상향,1005.12,361.02,253.23,2.71,96.9,81.95,109.29,NORMAL
2026-03-25,1.383,제품 순도 확보를 위해 환류비 상향,1018.81,347.43,251.2,2.6,97.29,81.93,109.54,NORMAL
2026-03-26,1.428,제품 순도 확보를 위해 환류비 상향,981.25,352.23,246.68,2.73,96.96,81.95,109.12,NORMAL
2026-03-27,1.39,제품 순도 확보를 위해 환류비 상향,1006.53,338.77,243.74,2.72,96.98,81.66,109.83,NORMAL
2026-03-28,1.419,제품 순도 확보를 위해 환류비 상향,1013.0,355.08,250.21,2.57,97.25,81.85,109.88,NORMAL
2026-03-29,1.362,제품 순도 확보를 위해 환류비 상향,986.57,349.95,256.96,2.54,97.05,82.1,109.49,NORMAL
